DATE,WIMFG
7/1/2014,465.8
8/1/2014,466.4
9/1/2014,466.6
10/1/2014,467.2
11/1/2014,467.5
12/1/2014,467.9
1/1/2015,467.9
2/1/2015,468.8
3/1/2015,468.6
4/1/2015,467.7
5/1/2015,467.6
6/1/2015,467.5
7/1/2015,467.6
8/1/2015,466.6
9/1/2015,467
10/1/2015,466.6
11/1/2015,466.5
12/1/2015,466.1
1/1/2016,466.2
2/1/2016,465.7
3/1/2016,465.6
4/1/2016,465.8
5/1/2016,465.3
6/1/2016,464.4
7/1/2016,463.6
8/1/2016,463.5
9/1/2016,463.2
10/1/2016,464
11/1/2016,464.2
12/1/2016,465.2
1/1/2017,465.6
2/1/2017,466
3/1/2017,467
4/1/2017,466.6
5/1/2017,466.7
6/1/2017,467.1
7/1/2017,467
8/1/2017,467.1
9/1/2017,466.9
10/1/2017,469.9
11/1/2017,471.6
12/1/2017,472.6
1/1/2018,475.3
2/1/2018,478.1
3/1/2018,480.2
